ID,greek_letter,constellation,RA_hour,RA_min,RA_sec,dec_deg,dec_min,dec_sec,magnitude
2878,sig,Pup,07,29,13.8,-43,18,05,3.25
2881,,,07,30,42.5,-30,57,44,4.65
2890,alf,Gem,07,34,35.9,+31,53,18,1.58
2891,alf,Gem,07,34,35.9,+31,53,18,1.58
2902,,,07,33,47.8,-14,31,26,4.98
2905,ups,Gem,07,35,55.3,+26,53,44,4.06
2906,,,07,34,03.1,-22,17,46,4.45
2922,,,07,35,22.8,-28,22,10,4.63
2930,omi,Gem,07,39,09.9,+34,35,04,4.91
2934,,,07,35,39.7,-52,32,02,4.94
2937,,,07,37,22.0,-34,58,06,4.53
2943,alf,CMi,07,39,18.1,+05,13,30,0.37
2944,,,07,38,17.9,-25,21,54,4.70
2946,,Lyn,07,43,00.4,+58,42,37,4.99
2948,,,07,38,49.3,-26,48,07,4.50
2949,,,07,38,49.7,-26,48,13,4.62
2959,,,07,40,23.1,-15,15,49,4.96
2961,,,07,39,27.3,-38,18,30,4.85
2970,alf,Mon,07,41,14.8,-09,33,04,3.93
2973,sig,Gem,07,43,18.7,+28,53,00,4.29
2985,kap,Gem,07,44,26.8,+24,23,53,3.57
2990,bet,Gem,07,45,18.9,+28,01,34,1.14
2993,,Pup,07,43,32.3,-28,24,40,4.59
2996,,Pup,07,43,48.4,-28,57,18,3.95
3003,,Gem,07,46,07.4,+18,30,36,4.87
3017,,,07,45,15.2,-37,58,07,3.61
3024,zet,Vol,07,41,49.3,-72,36,22,3.95
3034,omi,Pup,07,48,05.1,-25,56,14,4.49
3045,xi,Pup,07,49,17.6,-24,51,35,3.30
3046,,,07,48,20.2,-47,04,40,4.71
3055,,,07,49,14.3,-46,22,24,4.11
3067,phi,Gem,07,53,29.7,+26,45,57,4.98
3080,,,07,52,13.0,-40,34,33,3.73
3084,,,07,52,38.6,-38,51,47,4.49
3089,,,07,53,03.7,-49,36,47,4.63
3090,,,07,53,18.2,-48,06,11,4.24
3102,,Pup,07,56,51.5,-22,52,49,4.20
3113,,,07,57,40.1,-30,20,04,4.79
3117,chi,Car,07,56,46.7,-52,58,56,3.47
3122,,Mon,07,59,44.1,-03,40,47,4.93
3129,,,07,58,14.3,-49,14,42,4.41
3131,,,07,59,52.0,-18,23,58,4.61
3141,,Mon,08,01,13.2,-01,23,33,4.67
3145,,,08,02,15.9,+02,20,04,4.38
3149,chi,Gem,08,03,31.0,+27,47,39,4.94
3159,,,08,00,20.0,-63,34,03,4.82
3165,zet,Pup,08,03,35.0,-40,00,11,2.25
3173,,Lyn,08,08,27.4,+51,30,24,4.84
3185,ro,Pup,08,07,32.6,-24,18,15,2.81
3188,zet,Mon,08,08,35.6,-02,59,02,4.33
3192,,Pup,08,09,01.5,-19,14,42,4.40
3206,gam1,Vel,08,09,29.2,-47,20,44,4.27
3207,gam2,Vel,08,09,31.9,-47,20,12,1.83
3211,,Pup,08,11,16.2,-12,55,37,4.72
3220,,,08,09,00.7,-61,18,07,4.76
3223,eps,Vol,08,07,55.9,-68,37,02,4.35
3225,,,08,11,21.5,-39,37,07,4.42
3226,,,08,11,25.9,-42,59,14,4.75
3229,,Pup,08,13,19.9,-15,47,18,5.01
3237,,,08,13,29.5,-35,53,59,4.77
3243,,,08,14,02.8,-40,20,53,4.44
3249,bet,Cnc,08,16,30.9,+09,11,08,3.54
3270,,,08,18,33.3,-36,39,34,4.45
3275,,Lyn,08,22,50.1,+43,11,17,4.25
3282,,,08,21,23.0,-33,03,16,4.83
3294,,,08,22,31.5,-48,29,25,4.82
3307,eps,Car,08,22,30.8,-59,30,34,1.86
3314,,,08,25,39.6,-03,54,23,3.90
3318,alf,Cha,08,18,31.7,-76,55,11,4.07
3323,omi,UMa,08,30,15.8,+60,43,05,3.42
3340,tet,Cha,08,20,38.7,-77,29,04,4.35
3347,bet,Vol,08,25,44.3,-66,08,13,3.77
3359,,,08,29,27.5,-44,43,30,4.99
3403,pi2,UMa,08,40,12.9,+64,19,41,4.61
3410,del,Hya,08,37,39.3,+05,42,13,4.17
3414,,,08,35,19.6,-58,00,33,4.86
3418,sig,Hya,08,38,45.4,+03,20,29,4.43
3426,,,08,37,38.6,-42,59,21,4.14
3431,,Hya,08,40,01.4,-12,28,32,4.98
3433,zet,Pyx,08,39,42.5,-29,33,40,4.89
3438,bet,Pyx,08,40,06.2,-35,18,29,3.98
3441,,Hya,08,41,43.2,-15,56,36,4.88
3445,,,08,40,37.6,-46,38,55,3.81
3447,omi,Vel,08,40,17.6,-52,55,19,3.60
3449,gam,Cnc,08,43,17.1,+21,28,06,4.66
3452,,,08,41,13.0,-47,19,01,4.77
3454,eta,Hya,08,43,13.4,+03,23,55,4.30
3457,,,08,40,37.0,-59,45,40,4.33
3459,,,08,43,40.4,-07,14,01,4.62
3461,del,Cnc,08,44,41.0,+18,09,15,3.94
3467,,,08,42,25.4,-53,06,50,4.86
3468,alf,Pyx,08,43,35.5,-33,11,11,3.68
3475,iot,Cnc,08,46,41.8,+28,45,36,4.02
3477,,,08,44,23.9,-42,38,57,4.07
3482,eps,Hya,08,46,46.5,+06,25,08,3.38
3484,,Hya,08,46,22.5,-13,32,52,4.32
3485,del,Vel,08,44,42.2,-54,42,30,1.96
3487,,,08,46,01.7,-46,02,30,3.91
3492,ro,Hya,08,48,25.9,+05,50,16,4.37
3498,,,08,46,42.7,-56,46,11,4.49
3518,gam,Pyx,08,50,31.9,-27,42,36,4.01
3520,,,08,49,47.7,-45,18,28,4.93
3547,zet,Hya,08,55,23.6,+05,56,44,3.10
3556,del,Pyx,08,55,31.5,-27,40,55,4.89
3569,iot,UMa,08,59,12.4,+48,02,30,3.14
3571,,,08,55,02.8,-60,38,40,3.84
3572,alf,Cnc,08,58,29.2,+11,51,28,4.26
3574,,,08,56,19.4,-52,43,25,4.69
3576,ro,UMa,09,02,32.7,+67,37,47,4.76
3579,,,09,00,38.3,+41,46,58,3.97
3582,,,08,56,58.3,-59,13,46,4.92
3591,,,09,00,05.4,-41,15,14,4.45
3594,kap,UMa,09,03,37.5,+47,09,24,3.60
3612,,,09,06,31.7,+38,27,08,4.58
3613,omg,Hya,09,05,58.3,+05,05,32,4.89
3614,,,09,04,09.2,-47,05,52,3.75
3615,alf,Vol,09,02,26.9,-66,23,46,4.00
3616,sig2,UMa,09,10,23.1,+67,08,04,4.81
3619,,UMa,09,08,52.2,+51,36,16,4.48
3624,tau,UMa,09,10,55.0,+63,30,49,4.67
3628,kap,Pyx,09,08,02.8,-25,51,30,4.56
3634,lam,Vel,09,07,59.7,-43,25,57,2.21
3642,,,09,05,38.4,-70,32,19,4.57
3643,,,09,05,09.3,-72,36,10,4.48
3654,,,09,11,04.3,-44,52,04,5.00
3659,,,09,10,57.9,-58,58,01,3.45
3662,,UMa,09,16,11.3,+54,01,18,4.84
3663,,,09,11,16.7,-62,19,02,3.98
3665,tet,Hya,09,14,21.8,+02,18,51,3.88
3682,,,09,15,36.7,-38,34,12,4.94
3684,,,09,15,45.1,-37,24,48,4.62
3685,bet,Car,09,13,12.1,-69,43,02,1.69
3690,,Lyn,09,18,50.6,+36,48,09,3.82
3696,,,09,16,12.2,-57,32,28,4.34
3699,iot,Car,09,17,05.4,-59,16,31,2.25
3705,alf,Lyn,09,21,03.2,+34,23,33,3.14
3706,,Hya,09,19,46.3,-11,58,30,4.81
3709,,Hya,09,20,28.9,-09,33,21,4.79
3718,tet,Pyx,09,21,29.6,-25,57,56,4.72
3728,,,09,20,57.1,-62,24,17,4.81
3731,kap,Leo,09,24,39.2,+26,10,56,4.46
3733,lam,Pyx,09,23,12.1,-28,50,02,4.68
3734,kap,Vel,09,22,06.8,-55,00,38,2.50
3748,alf,Hya,09,27,35.2,-08,39,31,1.97
3749,,,09,27,18.3,-22,20,38,4.68
3751,,,09,37,05.2,+81,19,35,4.30
3757,,UMa,09,31,31.7,+63,03,43,3.67
3759,tau1,Hya,09,29,08.8,-02,46,08,4.61
3765,eps,Ant,09,29,14.7,-35,57,06,4.51
3771,,UMa,09,34,28.8,+69,49,49,4.57
3773,lam,Leo,09,31,43.1,+22,58,04,4.31
3775,tet,UMa,09,32,51.3,+51,40,38,3.18
3782,xi,Leo,09,31,56.7,+11,17,59,4.97
3786,psi,Vel,09,30,41.9,-40,28,00,3.60
3787,tau2,Hya,09,31,58.9,-01,11,05,4.57
3799,,UMa,09,34,49.4,+52,03,05,4.51
3800,,LMi,09,34,13.3,+36,23,51,4.55
3803,,,09,31,13.3,-57,02,04,3.13
3809,,,09,35,03.8,+39,37,17,4.81
3825,,,09,34,26.6,-59,13,46,4.09
3827,,Leo,09,37,12.6,+06,50,09,5.00
3834,,,09,38,27.2,+04,38,57,4.68
3836,,,09,36,49.7,-49,21,18,4.35
3845,iot,Hya,09,39,51.3,-01,08,34,3.91
3852,omi,Leo,09,41,09.0,+09,53,32,3.52
3856,,,09,39,21.0,-61,19,41,4.53
3858,,,09,41,16.9,-23,35,30,4.76
3862,,,09,42,14.4,-23,54,56,4.91
3871,tet,Ant,09,44,12.1,-27,46,10,4.79
3873,eps,Leo,09,45,51.0,+23,46,27,2.98
3884,,,09,45,14.8,-62,30,28,3.69
3888,ups,UMa,09,50,59.3,+59,02,19,3.81
3890,ups,Car,09,47,06.1,-65,04,18,2.96
3894,phi,UMa,09,52,06.3,+54,03,51,4.60
3903,ups1,Hya,09,51,28.6,-14,50,48,4.11
3905,mu,Leo,09,52,45.8,+26,00,25,3.88
3912,,,09,51,40.7,-46,32,52,4.58
3919,,,09,54,12.2,-25,55,55,4.88
3923,,,09,54,52.1,-19,00,34,4.94
3940,phi,Vel,09,56,51.7,-54,34,04,3.53
3950,pi,Leo,10,00,12.7,+08,02,39,4.70
3970,ups2,Hya,10,05,07.4,-13,03,53,4.59
3974,,LMi,10,07,25.7,+35,14,41,4.49
3975,eta,Leo,10,07,19.9,+16,45,45,3.41
3980,,Leo,10,07,54.2,+09,59,51,4.38
3981,alf,Sex,10,07,56.2,-00,22,18,4.50
3982,alf,Leo,10,08,22.3,+11,58,02,1.35
3990,,,10,08,56.2,-51,48,40,4.87
3994,lam,Hya,10,10,35.2,-12,21,15,3.61
4023,,,10,14,44.1,-42,07,19,3.85
4031,zet,Leo,10,16,41.3,+23,25,02,3.41
4033,lam,UMa,10,17,05.7,+42,54,52,3.45
4037,omg,Car,10,13,44.3,-70,02,16,3.33
4050,,,10,17,04.9,-61,19,56,3.40
4054,,Leo,10,19,44.1,+19,28,15,4.80
4057,gam1,Leo,10,19,58.3,+19,50,30,2.61
4058,gam2,Leo,10,19,58.6,+19,50,25,3.80
4063,,,10,19,36.8,-55,01,46,4.57
4069,mu,UMa,10,22,19.7,+41,29,58,3.05
4072,,,10,24,07.8,+65,33,59,4.99
4074,,,10,20,55.4,-56,02,36,4.50
4080,,,10,22,19.5,-41,39,00,4.83
4089,,,10,22,58.1,-66,54,06,4.99
4090,,LMi,10,25,54.8,+33,47,46,4.74
4094,mu,Hya,10,26,05.4,-16,50,11,3.79
4100,bet,LMi,10,27,52.9,+36,42,26,4.21
4102,,,10,24,23.7,-74,01,54,4.00
4104,alf,Ant,10,27,09.1,-31,04,04,4.25
4110,,,10,27,24.4,-57,38,20,4.66
4112,,UMa,10,30,37.5,+55,58,50,4.84
4114,,,10,27,52.7,-58,44,22,3.81
4126,,,10,35,05.5,+75,42,46,4.84
4132,,,10,33,13.8,+40,25,31,4.75
4133,ro,Leo,10,32,48.6,+09,18,24,3.85
4134,,,10,31,21.8,-53,42,56,4.89
4138,,,10,30,20.0,-71,59,34,4.75
4140,,,10,32,01.4,-61,41,07,3.32
4142,,,10,31,02.0,-73,13,18,4.93
4159,,,10,35,35.2,-57,33,27,4.45
4162,,,10,37,13.7,-27,24,46,4.89
4163,,,10,37,33.1,-13,23,04,4.82
4166,,LMi,10,38,43.2,+31,58,34,4.72
4167,,,10,37,18.0,-48,13,33,3.84
4171,phi3,Hya,10,38,34.9,-16,52,36,4.91
4174,gam,Cha,10,35,28.1,-78,36,27,4.11
4177,,,10,38,45.1,-59,10,59,4.66
4180,,,10,39,18.3,-55,36,12,4.28
4181,,,10,43,04.0,+69,04,34,5.00
4196,,,10,42,14.0,-64,27,58,4.82
4199,tet,Car,10,42,57.4,-64,23,40,2.77
4200,,,10,43,32.1,-60,33,59,4.58
4205,,,10,44,06.9,-63,57,40,4.83
4216,mu,Vel,10,46,46.1,-49,25,12,2.69
4222,,,10,46,51.2,-64,23,00,4.86
4232,nu,Hya,10,49,37.4,-16,11,37,3.11
4234,del2,Cha,10,45,46.6,-80,32,24,4.46
4247,,LMi,10,53,18.6,+34,12,53,3.83
4248,omg,UMa,10,53,58.7,+43,11,24,4.71
4257,,,10,53,29.6,-58,51,12,3.78
4259,,Leo,10,55,36.7,+24,44,59,4.50
4273,iot,Ant,10,56,43.0,-37,08,16,4.60
4287,alf,Crt,10,59,46.4,-18,17,56,4.07
4291,,Leo,11,00,33.6,+03,37,03,4.84
4293,,,11,00,09.2,-42,13,33,4.39
4294,,Leo,11,00,44.7,+06,06,05,4.99
4295,bet,UMa,11,01,50.4,+56,22,56,2.37
4299,,Leo,11,01,49.6,-02,29,04,4.75
4300,,Leo,11,02,19.7,+20,10,47,4.42
4301,alf,UMa,11,03,43.6,+61,45,03,1.79
4310,chi,Leo,11,05,01.0,+07,20,10,4.63
4314,chi1,Hya,11,05,19.9,-27,17,36,4.94
4325,,,11,06,32.4,-62,25,26,4.61
4335,psi,UMa,11,09,39.7,+44,29,54,3.01
4337,,,11,08,35.3,-58,58,30,3.83
4343,bet,Crt,11,11,39.4,-22,49,33,4.48
4352,,,11,12,36.0,-60,19,03,4.62
4357,del,Leo,11,14,06.4,+20,31,25,2.56
4359,tet,Leo,11,14,14.3,+15,25,46,3.35
4362,,Leo,11,15,12.2,+23,05,44,4.63
4368,phi,Leo,11,16,39.6,-03,39,06,4.47
4374,xi,UMa,11,18,10.9,+31,31,45,4.87
4375,xi,UMa,11,18,10.9,+31,31,45,4.41
4377,nu,UMa,11,18,28.7,+33,05,39,3.49
4380,,UMa,11,19,07.8,+38,11,08,4.79
4382,del,Crt,11,19,20.4,-14,46,43,3.56
4386,sig,Leo,11,21,08.1,+06,01,46,4.05
4390,pi,Cen,11,21,00.4,-54,29,27,3.90
4392,,UMa,11,22,49.5,+43,28,58,5.03
4396,,,11,23,12.5,-36,09,54,5.00
4399,iot,Leo,11,23,55.4,+10,31,45,3.94
4402,eps,Crt,11,24,36.5,-10,51,34,4.83
4405,gam,Crt,11,24,52.8,-17,41,03,4.08
4418,tau,Leo,11,27,56.2,+02,51,22,4.91
4432,,Leo,11,30,18.8,-03,00,13,4.77
4434,lam,Dra,11,31,24.2,+69,19,52,3.85
4450,xi,Hya,11,33,00.1,-31,51,27,3.54
4460,,,11,34,45.6,-54,15,51,4.62
4467,lam,Cen,11,35,46.8,-63,01,11,3.13
4468,tet,Crt,11,36,40.8,-09,48,08,4.70
4471,ups,Leo,11,36,56.9,-00,49,26,4.30
4494,omi,Hya,11,40,12.7,-34,44,41,4.70
4499,,,11,40,53.6,-62,05,23,4.94
4514,zet,Crt,11,44,45.7,-18,21,03,4.72
4515,xi,Vir,11,45,17.0,+08,15,30,4.85
4517,nu,Vir,11,45,51.5,+06,31,46,4.04
4518,chi,UMa,11,46,03.0,+47,46,46,3.72
4520,lam,Mus,11,45,36.4,-66,43,43,3.64
4522,,,11,46,30.7,-61,10,42,4.10
4523,,,11,46,31.0,-40,30,01,4.88
4527,,Leo,11,47,59.1,+20,13,08,4.53
4530,mu,Mus,11,48,14.4,-66,48,53,4.72
4534,bet,Leo,11,49,03.5,+14,34,19,2.14
4537,,,11,49,41.0,-63,47,18,4.34
4538,,,11,49,56.3,-70,13,32,4.98
4540,bet,Vir,11,50,41.6,+01,45,53,3.60
4546,,,11,51,08.1,-45,10,26,4.46
4549,,,11,51,51.2,-65,12,22,4.91
4552,bet,Hya,11,52,54.5,-33,54,28,4.28
4554,gam,UMa,11,53,49.8,+53,41,41,2.44
4583,eps,Cha,11,59,37.3,-78,13,18,4.91
4589,pi,Vir,12,00,52.3,+06,36,51,4.67
4599,tet1,Cru,12,03,01.5,-63,18,46,4.34
4603,tet2,Cru,12,04,19.2,-63,09,56,4.73
4608,omi,Vir,12,05,12.5,+08,43,59,4.12
4616,eta,Cru,12,06,52.8,-64,36,49,4.15
4618,,,12,08,05.1,-50,39,40,4.47
4621,del,Cen,12,08,21.5,-50,43,20,2.60
4623,alf,Crv,12,08,24.7,-24,43,44,4.02
4630,eps,Crv,12,10,07.4,-22,37,11,2.98
4638,ro,Cen,12,11,39.1,-52,22,06,3.96
4656,del,Cru,12,15,08.6,-58,44,56,2.79
4660,del,UMa,12,15,25.5,+57,01,57,3.31
4662,gam,Crv,12,15,48.3,-17,32,31,2.58
4667,,Com,12,16,20.5,+23,56,43,4.95
4668,,,12,16,30.1,+33,03,41,4.98
4671,eps,Mus,12,17,34.2,-67,57,38,4.02
4674,bet,Cha,12,18,20.7,-79,18,43,4.26
4679,zet,Cru,12,18,26.1,-64,00,11,4.05
4682,,,12,18,59.7,-55,08,35,5.00
4689,eta,Vir,12,19,54.3,-00,40,00,3.90
4695,,Vir,12,20,20.9,+03,18,45,4.96
4697,,Com,12,20,42.9,+17,47,34,4.74
4700,eps,Cru,12,21,21.5,-60,24,04,3.59
4707,,Com,12,22,30.2,+25,50,46,4.81
4716,,CVn,12,24,01.4,+51,33,44,4.80
4729,,,12,26,30.9,-63,07,21,4.86
4730,alf1,Cru,12,26,35.9,-63,05,56,1.58
4731,alf2,Cru,12,26,36.5,-63,05,58,2.09
4732,,,12,26,31.5,-51,27,02,4.83
4733,,Com,12,26,24.0,+27,16,05,4.95
4737,gam,Com,12,26,56.2,+28,16,06,4.36
4738,,Com,12,26,59.3,+26,49,32,4.99
4743,sig,Cen,12,28,02.3,-50,13,51,3.91
4757,del,Crv,12,29,51.8,-16,30,56,2.94
4763,gam,Cru,12,31,09.9,-57,06,47,1.63
4765,,Dra,12,30,06.6,+69,12,04,4.95
4773,gam,Mus,12,32,28.0,-72,07,58,3.88
4775,eta,Crv,12,32,04.1,-16,11,46,4.32
4785,bet,CVn,12,33,44.5,+41,21,27,4.27
4786,bet,Crv,12,34,23.2,-23,23,48,2.64
4787,kap,Dra,12,33,28.9,+69,47,17,3.89
4789,,Com,12,34,51.0,+22,37,45,4.81
4795,,Dra,12,34,43.9,+70,01,18,4.94
4798,alf,Mus,12,37,11.0,-69,08,08,2.70
4802,tau,Cen,12,37,42.1,-48,32,28,3.86
4813,chi,Vir,12,39,14.7,-07,59,44,4.67
4817,,,12,39,52.4,-39,59,15,4.64
4819,gam,Cen,12,41,30.9,-48,57,34,2.17
4823,,,12,41,56.6,-59,41,08,4.94
4825,gam,Vir,12,41,39.5,-01,26,58,3.65
4826,gam,Vir,12,41,39.5,-01,26,58,3.68
4828,ro,Vir,12,41,53.0,+10,14,08,4.88
4831,,,12,42,35.3,-48,48,47,4.66
4842,iot,Cru,12,45,37.8,-60,58,52,4.69
4844,bet,Mus,12,46,16.9,-68,06,29,3.06
4846,,,12,45,07.8,+45,26,25,4.87
4848,,,12,46,22.6,-56,29,20,4.66
4853,bet,Cru,12,47,43.3,-59,41,19,1.25
4874,,,12,50,41.1,-33,59,57,4.91
4883,,Com,12,51,41.8,+27,32,26,4.94
4888,,,12,53,06.8,-48,56,35,4.33
4889,,,12,53,26.1,-40,10,44,4.27
4894,,Com,12,53,19.3,+21,14,25,4.90
4897,lam,Cru,12,54,39.1,-59,08,47,4.63
4898,mu1,Cru,12,54,35.6,-57,10,40,4.04
4902,psi,Vir,12,54,21.1,-09,32,20,4.80
4905,eps,UMa,12,54,01.7,+55,57,35,1.77
4910,del,Vir,12,55,36.1,+03,23,51,3.38
4915,alf2,CVn,12,56,01.6,+38,19,06,2.88
4920,,Com,12,58,55.4,+17,24,33,4.79
4923,del,Mus,13,02,16.3,-71,32,56,3.62
4924,,Com,13,00,16.4,+30,47,06,4.90
4931,,UMa,13,00,43.7,+56,21,59,4.93
4932,eps,Vir,13,02,10.5,+10,57,33,2.79
4933,xi1,Cen,13,03,33.1,-49,31,38,4.85
4940,,,13,06,16.6,-48,27,48,4.71
4942,xi2,Cen,13,06,54.5,-49,54,22,4.27
4954,,Com,13,07,10.6,+27,37,29,4.82
4958,psi,Hya,13,09,03.2,-23,07,05,4.95
4963,tet,Vir,13,09,56.9,-05,32,20,4.38
4975,,,13,12,17.4,-59,55,15,4.60
4979,,,13,12,03.1,-37,48,11,4.85
4983,bet,Com,13,11,52.3,+27,52,41,4.26
4989,,,13,14,14.7,-59,06,12,4.92
4993,eta,Mus,13,15,14.9,-67,53,41,4.80
4997,,,13,13,42.9,+40,09,10,4.92
5002,,,13,17,13.0,-66,47,01,4.87
5015,sig,Vir,13,17,36.2,+05,28,12,4.80
5017,,CVn,13,17,32.5,+40,34,21,4.73
5019,,Vir,13,18,24.2,-18,18,41,4.74
5020,gam,Hya,13,18,55.2,-23,10,18,3.00
5028,iot,Cen,13,20,35.7,-36,42,44,2.73
5035,,,13,22,37.9,-60,59,18,4.54
5041,,,13,24,00.5,-64,32,09,4.53
5054,zet,UMa,13,23,55.5,+54,55,31,2.27
5055,zet,UMa,13,23,56.3,+54,55,18,3.95
5056,alf,Vir,13,25,11.5,-11,09,41,0.97
5062,,UMa,13,25,13.4,+54,59,17,4.02
5068,,Vir,13,27,27.1,-15,58,25,4.75
5072,,Vir,13,28,25.7,+13,46,43,4.98
5080,,,13,29,42.7,-23,16,52,4.97
5089,,,13,31,02.6,-39,24,26,3.88
5095,,Vir,13,31,57.8,-06,15,21,4.69
5105,,Vir,13,34,07.8,+03,39,32,4.94
5107,zet,Vir,13,34,41.5,-00,35,46,3.38
5110,,,13,34,47.7,+37,10,57,4.98
5112,,CVn,13,34,27.2,+49,00,57,4.70
5127,,CVn,13,37,27.5,+36,17,41,4.83
5132,eps,Cen,13,39,53.2,-53,27,59,2.30
5154,,UMa,13,40,44.1,+54,40,54,4.66
5168,,Cen,13,45,41.2,-33,02,37,4.23
5172,,,13,46,39.3,-51,25,58,4.65
5185,tau,Boo,13,47,15.7,+17,27,24,4.50
5190,nu,Cen,13,49,30.2,-41,41,16,3.41
5191,eta,UMa,13,47,32.3,+49,18,48,1.86
5192,,Cen,13,49,26.6,-34,27,02,4.19
5193,mu,Cen,13,49,36.9,-42,28,26,3.04
5196,,Vir,13,49,52.2,-18,08,03,4.97
5200,ups,Boo,13,49,28.5,+15,47,52,4.07
5201,,Boo,13,49,42.7,+21,15,51,4.91
5210,,Cen,13,51,49.5,-32,59,40,4.56
5219,,,13,51,47.4,+34,26,39,4.75
5221,,Cen,13,53,12.4,-31,55,39,4.74
5226,,Dra,13,51,25.8,+64,43,23,4.66
5231,zet,Cen,13,55,32.3,-47,17,18,2.55
5235,eta,Boo,13,54,41.0,+18,23,52,2.68
5241,,,13,57,38.9,-63,41,12,4.71
5248,phi,Cen,13,58,16.2,-42,06,03,3.83
5249,ups1,Cen,13,58,40.7,-44,48,13,3.87
5260,ups2,Cen,14,01,43.3,-45,36,12,4.33
5264,tau,Vir,14,01,38.7,+01,32,40,4.26
5267,bet,Cen,14,03,49.4,-60,22,22,0.61
5285,chi,Cen,14,06,02.7,-41,10,46,4.36
5287,pi,Hya,14,06,22.2,-26,40,56,3.28
5288,tet,Cen,14,06,40.8,-36,22,12,2.05
5291,alf,Dra,14,04,23.2,+64,22,33,3.65
5297,,,14,09,54.7,-53,26,20,4.75
5301,,,14,10,50.4,-16,18,07,4.91
5303,eta,Aps,14,18,13.6,-81,00,27,4.91
5304,,Boo,14,10,23.9,+25,05,30,4.83
5315,kap,Vir,14,12,53.7,-10,16,25,4.21
5321,,UMi,14,08,50.8,+77,32,51,4.82
5329,kap2,Boo,14,13,28.9,+51,47,24,4.54
5338,iot,Vir,14,16,00.8,-06,00,02,4.09
5339,del,Oct,14,26,54.8,-83,40,04,4.32
5340,alf,Boo,14,15,39.6,+19,10,57,-0.05
5350,iot,Boo,14,16,09.8,+51,22,02,4.75
5351,lam,Boo,14,16,22.9,+46,05,18,4.18
5354,iot,Lup,14,19,24.1,-46,03,28,3.55
5358,,,14,20,19.4,-56,23,12,4.35
5359,lam,Vir,14,19,06.5,-13,22,16,4.52
5361,,,14,17,59.7,+35,30,34,4.81
5364,,,14,20,42.4,-45,11,14,4.77
5367,psi,Cen,14,20,33.3,-37,53,07,4.05
5370,,Boo,14,19,45.1,+16,18,25,4.86
5371,,,14,22,36.9,-58,27,34,4.92
5378,,,14,23,02.1,-39,30,44,4.42
5381,,Hya,14,23,05.7,-27,45,14,4.75
5395,tau1,Lup,14,26,08.1,-45,13,17,4.56
5396,tau2,Lup,14,26,10.7,-45,22,46,4.35
5404,tet,Boo,14,25,11.7,+51,51,03,4.06
5407,,Hya,14,28,10.3,-29,29,30,4.97
5409,phi,Vir,14,28,12.1,-02,13,41,4.82
5425,sig,Lup,14,32,36.8,-50,27,25,4.42
5429,ro,Boo,14,31,49.7,+30,22,17,3.59
5430,,UMi,14,27,31.4,+75,41,45,4.25
5435,gam,Boo,14,32,04.6,+38,18,29,3.02
5440,eta,Cen,14,35,30.3,-42,09,28,2.31
5447,sig,Boo,14,34,40.7,+29,44,42,4.47
5453,ro,Lup,14,37,53.1,-49,25,32,4.05
5459,alf1,Cen,14,39,36.2,-60,50,07,-0.01
5460,alf2,Cen,14,39,36.2,-60,50,07,1.33
5463,alf,Cir,14,42,30.3,-64,58,31,3.19
5469,alf,Lup,14,41,55.7,-47,23,17,2.30
5470,alf,Aps,14,47,51.6,-79,02,41,3.83
5471,,,14,41,57.5,-37,47,37,4.00
5475,pi1,Boo,14,40,43.5,+16,25,06,4.94
5477,zet,Boo,14,41,08.8,+13,43,42,4.83
5478,zet,Boo,14,41,08.8,+13,43,42,4.43
5480,,Boo,14,41,38.7,+08,09,42,4.86
5485,,,14,43,39.3,-35,10,26,4.05
5487,mu,Vir,14,43,03.5,-05,39,30,3.88
5489,,,14,44,59.1,-35,11,31,4.92
5490,,Boo,14,43,25.3,+26,31,40,4.79
5497,,Hya,14,46,00.0,-25,26,35,4.94
5502,omi,Boo,14,45,14.4,+16,57,52,4.60
5506,eps,Boo,14,44,59.1,+27,04,27,2.70
5511,,Vir,14,46,14.9,+01,53,34,3.73
5526,,Hya,14,50,17.2,-27,57,37,4.41
5528,omi,Lup,14,51,38.3,-43,34,31,4.33
5531,alf2,Lib,14,50,52.6,-16,02,31,2.75
5535,,Lib,14,51,00.9,-02,17,57,4.94
5544,xi,Boo,14,51,23.2,+19,06,04,4.54
5563,bet,UMi,14,50,42.2,+74,09,20,2.08
5570,,Lib,14,57,10.9,-04,20,47,4.49
5571,bet,Lup,14,58,31.8,-43,08,02,2.68
5576,kap,Cen,14,59,09.6,-42,06,15,3.13
5586,del,Lib,15,00,58.3,-08,31,08,4.93
5589,,,14,57,34.9,+65,55,56,4.54
5600,omg,Boo,15,02,06.4,+25,00,29,4.82
5601,,Vir,15,02,54.0,+02,05,28,4.40
5602,bet,Boo,15,01,56.6,+40,23,26,3.52
5603,sig,Lib,15,04,04.1,-25,16,55,3.21
5605,pi,Lup,15,05,07.1,-47,03,04,4.72
5606,pi,Lup,15,05,07.1,-47,03,04,4.82
5616,psi,Boo,15,04,26.7,+26,56,51,4.55
5618,,Boo,15,03,47.3,+47,39,16,4.76
5626,lam,Lup,15,08,50.5,-45,16,47,4.05
5634,,Boo,15,07,18.0,+24,52,09,4.93
5646,kap1,Lup,15,11,56.0,-48,44,16,3.87
5649,zet,Lup,15,12,17.0,-52,05,57,3.41
5651,,,15,12,49.4,-44,30,02,4.82
5652,iot1,Lib,15,12,13.2,-19,47,30,4.54
